# ----------------------------------------
# All Web Site Data
# Overview
# 20181001-20190429
# ----------------------------------------

Device Category,Date Range,Segment,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Transactions,Revenue,Ecommerce Conversion Rate
10/18/18,"Oct 1, 2018 - Apr 29, 2019",All Users,$0.00,0.00%
10/18/18,"Oct 1, 2018 - Apr 29, 2019",New Users,$0.00,0.00%
10/18/18,"Oct 1, 2018 - Apr 29, 2019",Returning Users,$0.00,0.00%
10/19/18,"Oct 1, 2018 - Apr 29, 2019",All Users,$0.00,0.00%
10/19/18,"Oct 1, 2018 - Apr 29, 2019",New Users,$0.00,0.00%
10/19/18,"Oct 1, 2018 - Apr 29, 2019",Returning Users,$0.00,0.00%
10/20/18,"Oct 1, 2018 - Apr 29, 2019",All Users,$0.00,0.00%
10/20/18,"Oct 1, 2018 - Apr 29, 2019",New Users,$0.00,0.00%
10/20/18,"Oct 1, 2018 - Apr 29, 2019",Returning Users,$0.00,0.00%
10/21/18,"Oct 1, 2018 - Apr 29, 2019",All Users,$0.00,0.00%
10/21/18,"Oct 1, 2018 - Apr 29, 2019",New Users,$0.00,0.00%
10/21/18,"Oct 1, 2018 - Apr 29, 2019",Returning Users,$0.00,0.00%
10/22/18,"Oct 1, 2018 - Apr 29, 2019",All Users,$380.68,4.00%
10/22/18,"Oct 1, 2018 - Apr 29, 2019",New Users,$170.40,3.70%
10/22/18,"Oct 1, 2018 - Apr 29, 2019",Returning Users,$210.28,4.76%
10/23/18,"Oct 1, 2018 - Apr 29, 2019",All Users,$87.32,1.28%
10/23/18,"Oct 1, 2018 - Apr 29, 2019",New Users,$0.00,0.00%
10/23/18,"Oct 1, 2018 - Apr 29, 2019",Returning Users,$87.32,3.33%
10/24/18,"Oct 1, 2018 - Apr 29, 2019",All Users,$0.00,0.00%
10/24/18,"Oct 1, 2018 - Apr 29, 2019",New Users,$0.00,0.00%
10/24/18,"Oct 1, 2018 - Apr 29, 2019",Returning Users,$0.00,0.00%
10/25/18,"Oct 1, 2018 - Apr 29, 2019",All Users,$0.00,0.00%
10/25/18,"Oct 1, 2018 - Apr 29, 2019",New Users,$0.00,0.00%
10/25/18,"Oct 1, 2018 - Apr 29, 2019",Returning Users,$0.00,0.00%
10/26/18,"Oct 1, 2018 - Apr 29, 2019",All Users,$0.00,0.00%
10/26/18,"Oct 1, 2018 - Apr 29, 2019",New Users,$0.00,0.00%
10/26/18,"Oct 1, 2018 - Apr 29, 2019",Returning Users,$0.00,0.00%
10/27/18,"Oct 1, 2018 - Apr 29, 2019",All Users,$83.08,1.41%
10/27/18,"Oct 1, 2018 - Apr 29, 2019",New Users,$83.08,2.22%
10/27/18,"Oct 1, 2018 - Apr 29, 2019",Returning Users,$0.00,0.00%
10/28/18,"Oct 1, 2018 - Apr 29, 2019",All Users,$80.96,1.56%
10/28/18,"Oct 1, 2018 - Apr 29, 2019",New Users,$0.00,0.00%
10/28/18,"Oct 1, 2018 - Apr 29, 2019",Returning Users,$80.96,4.00%
10/29/18,"Oct 1, 2018 - Apr 29, 2019",All Users,$0.00,0.00%
10/29/18,"Oct 1, 2018 - Apr 29, 2019",New Users,$0.00,0.00%
10/29/18,"Oct 1, 2018 - Apr 29, 2019",Returning Users,$0.00,0.00%
